Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
12/29/2021,01/01/2020,12/25/2021,By Total,,,Alaska,"Healthcare setting, inpatient",768,3574,743,535,,983,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Alaska,"Healthcare setting, outpatient or emergency room",27,634,16,,0,37,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Alaska,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Alaska,Decedent's home,141,4218,100,44,,199,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Alaska,Hospice facility,0,0,0,0,0,0,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Alaska,Nursing home/long term care facility,58,961,32,12,,79,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Alaska,Other,15,943,18,,,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Alaska,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Arizona,Total - All Places of Death,22183,155002,20246,13234,159,29347,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Arizona,"Healthcare setting, inpatient",15558,44016,15137,10898,115,19908,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Arizona,"Healthcare setting, outpatient or emergency room",659,8144,479,244,,899,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Arizona,"Healthcare setting, dead on arrival",,40,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Arizona,Decedent's home,2128,52602,1758,751,14,3149,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Arizona,Hospice facility,1151,11939,1075,446,17,1796,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Arizona,Nursing home/long term care facility,1247,12306,816,443,,1623,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Arizona,Other,1435,25955,979,451,,1966,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Arizona,Place of death unknown,0,0,0,0,0,0,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Arkansas,Total - All Places of Death,9122,75608,8424,4572,116,13079,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Arkansas,"Healthcare setting, inpatient",6137,23594,6315,3710,73,8810,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Arkansas,"Healthcare setting, outpatient or emergency room",352,5548,305,110,12,559,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Arkansas,"Healthcare setting, dead on arrival",14,156,,,0,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Arkansas,Decedent's home,637,24605,536,169,20,1021,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Arkansas,Hospice facility,345,6796,515,176,,688,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Arkansas,Nursing home/long term care facility,1533,10626,681,384,,1834,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Arkansas,Other,104,4283,66,20,0,150,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Arkansas,Place of death unknown,0,0,0,0,0,0,
12/29/2021,01/01/2020,12/25/2021,By Total,,,California,Total - All Places of Death,79930,636067,80565,47859,865,113477,
12/29/2021,01/01/2020,12/25/2021,By Total,,,California,"Healthcare setting, inpatient",58604,210155,65102,40936,717,83469,
12/29/2021,01/01/2020,12/25/2021,By Total,,,California,"Healthcare setting, outpatient or emergency room",2911,35970,2537,1173,39,4312,
12/29/2021,01/01/2020,12/25/2021,By Total,,,California,"Healthcare setting, dead on arrival",18,229,12,,0,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,California,Decedent's home,7494,240026,5540,2129,64,10967,
12/29/2021,01/01/2020,12/25/2021,By Total,,,California,Hospice facility,221,7637,323,100,,445,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,California,Nursing home/long term care facility,7711,73205,4933,2467,31,10207,
12/29/2021,01/01/2020,12/25/2021,By Total,,,California,Other,2970,68836,2117,1046,13,4053,
12/29/2021,01/01/2020,12/25/2021,By Total,,,California,Place of death unknown,,,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Colorado,Total - All Places of Death,10533,93630,9410,5677,148,14406,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Colorado,"Healthcare setting, inpatient",6062,24001,6307,4314,78,8127,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Colorado,"Healthcare setting, outpatient or emergency room",235,3669,211,100,,353,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Colorado,"Healthcare setting, dead on arrival",13,88,,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Colorado,Decedent's home,1344,34180,1062,408,33,2031,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Colorado,Hospice facility,244,6705,428,132,,544,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Colorado,Nursing home/long term care facility,2444,18946,1242,661,25,3048,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Colorado,Other,191,6016,153,57,,288,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Colorado,Place of death unknown,0,25,0,0,0,0,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Connecticut,Total - All Places of Death,9099,69043,5703,2808,93,12083,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Connecticut,"Healthcare setting, inpatient",5309,23994,4378,2327,71,7428,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Connecticut,"Healthcare setting, outpatient or emergency room",297,4239,139,38,,400,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Connecticut,"Healthcare setting, dead on arrival",13,482,,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Connecticut,Decedent's home,401,20365,231,32,,605,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Connecticut,Hospice facility,135,2520,106,53,0,188,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Connecticut,Nursing home/long term care facility,2772,13515,785,338,14,3233,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Connecticut,Other,171,3918,56,18,0,209,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Connecticut,Place of death unknown,,10,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Delaware,Total - All Places of Death,2259,21540,1956,1112,26,3128,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Delaware,"Healthcare setting, inpatient",1412,5722,1560,955,17,2033,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Delaware,"Healthcare setting, outpatient or emergency room",58,1228,54,21,,92,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Delaware,"Healthcare setting, dead on arrival",,16,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Delaware,Decedent's home,195,8148,122,45,,275,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Delaware,Hospice facility,86,2350,70,18,,142,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Delaware,Nursing home/long term care facility,494,2860,135,69,,561,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Delaware,Other,13,1214,15,,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Delaware,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,District of Columbia,Total - All Places of Death,1643,13965,2074,1340,12,2389,
12/29/2021,01/01/2020,12/25/2021,By Total,,,District of Columbia,"Healthcare setting, inpatient",1271,7207,1719,1083,11,1918,
12/29/2021,01/01/2020,12/25/2021,By Total,,,District of Columbia,"Healthcare setting, outpatient or emergency room",69,847,61,50,0,80,
12/29/2021,01/01/2020,12/25/2021,By Total,,,District of Columbia,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
12/29/2021,01/01/2020,12/25/2021,By Total,,,District of Columbia,Decedent's home,124,3493,121,82,0,163,
12/29/2021,01/01/2020,12/25/2021,By Total,,,District of Columbia,Hospice facility,34,477,39,27,0,46,
12/29/2021,01/01/2020,12/25/2021,By Total,,,District of Columbia,Nursing home/long term care facility,127,1032,112,84,0,155,
12/29/2021,01/01/2020,12/25/2021,By Total,,,District of Columbia,Other,18,908,22,14,,27,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,District of Columbia,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Florida,Total - All Places of Death,59940,496852,63321,38705,555,85055,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Florida,"Healthcare setting, inpatient",43502,152277,46000,31175,387,58667,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Florida,"Healthcare setting, outpatient or emergency room",1946,30927,1577,818,24,2729,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Florida,"Healthcare setting, dead on arrival",27,391,13,10,0,30,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Florida,Decedent's home,3323,141014,3322,1287,43,5400,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Florida,Hospice facility,6282,85491,8293,3496,78,11152,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Florida,Nursing home/long term care facility,2663,39719,1906,773,,3804,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Florida,Other,2197,47030,2210,1146,14,3273,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Florida,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Georgia,Total - All Places of Death,27090,207420,22857,14624,236,35539,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Georgia,"Healthcare setting, inpatient",19770,66761,18047,12480,170,25492,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Georgia,"Healthcare setting, outpatient or emergency room",1340,18992,795,377,20,1776,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Georgia,"Healthcare setting, dead on arrival",50,1619,28,11,,68,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Georgia,Decedent's home,2019,68460,1258,511,26,2790,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Georgia,Hospice facility,1066,14487,1268,476,,1867,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Georgia,Nursing home/long term care facility,2536,24761,1306,693,,3155,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Georgia,Other,309,12317,155,76,,391,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Georgia,Place of death unknown,0,23,0,0,0,0,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Hawaii,Total - All Places of Death,1061,24242,1851,603,27,2335,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Hawaii,"Healthcare setting, inpatient",795,6592,1302,537,19,1578,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Hawaii,"Healthcare setting, outpatient or emergency room",62,1811,85,24,,124,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Hawaii,"Healthcare setting, dead on arrival",15,985,21,,,36,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Hawaii,Decedent's home,111,8982,204,25,,291,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Hawaii,Hospice facility,,1204,59,,,62,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Hawaii,Nursing home/long term care facility,46,2029,110,,,153,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Hawaii,Other,27,2639,70,,,91,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Hawaii,Place of death unknown,0,0,0,0,0,0,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Idaho,Total - All Places of Death,4203,33932,3299,2201,36,5333,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Idaho,"Healthcare setting, inpatient",2521,8489,2295,1672,17,3159,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Idaho,"Healthcare setting, outpatient or emergency room",89,1148,65,28,,129,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Idaho,"Healthcare setting, dead on arrival",0,33,0,0,0,0,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Idaho,Decedent's home,620,13971,414,221,11,822,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Idaho,Hospice facility,128,1326,128,69,,188,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Idaho,Nursing home/long term care facility,799,7131,363,196,,969,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Idaho,Other,46,1834,34,15,,66,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Idaho,Place of death unknown,0,0,0,0,0,0,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Illinois,Total - All Places of Death,27210,243282,25533,14278,233,38690,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Illinois,"Healthcare setting, inpatient",18156,75893,19501,11841,151,25959,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Illinois,"Healthcare setting, outpatient or emergency room",1004,17075,760,327,12,1449,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Illinois,"Healthcare setting, dead on arrival",23,588,,,0,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Illinois,Decedent's home,2006,81432,1720,537,25,3214,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Illinois,Hospice facility,567,9457,715,295,10,997,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Illinois,Nursing home/long term care facility,4771,42061,2432,1112,31,6122,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Illinois,Other,683,16776,398,161,,924,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Illinois,Place of death unknown,0,0,0,0,0,0,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Indiana,Total - All Places of Death,18303,151683,17150,9588,190,26046,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Indiana,"Healthcare setting, inpatient",11039,47314,12628,7752,134,16041,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Indiana,"Healthcare setting, outpatient or emergency room",360,6338,307,124,,549,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Indiana,"Healthcare setting, dead on arrival",,130,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Indiana,Decedent's home,1399,50554,1356,463,18,2310,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Indiana,Hospice facility,260,5467,491,178,,581,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Indiana,Nursing home/long term care facility,4993,33823,2163,981,22,6196,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Indiana,Other,248,8036,203,89,,364,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Indiana,Place of death unknown,0,21,0,0,0,0,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Iowa,Total - All Places of Death,7869,67080,6097,2949,110,11123,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Iowa,"Healthcare setting, inpatient",4060,17932,3880,2161,55,5830,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Iowa,"Healthcare setting, outpatient or emergency room",189,3167,135,45,,282,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Iowa,"Healthcare setting, dead on arrival",,89,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Iowa,Decedent's home,570,18958,481,121,13,943,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Iowa,Hospice facility,202,5513,412,68,13,559,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Iowa,Nursing home/long term care facility,2773,19080,1134,536,25,3396,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Iowa,Other,70,2340,50,15,0,105,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Iowa,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Kansas,Total - All Places of Death,6989,60573,5869,3201,134,9788,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Kansas,"Healthcare setting, inpatient",4244,17536,4164,2524,80,5961,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Kansas,"Healthcare setting, outpatient or emergency room",176,2515,143,62,,260,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Kansas,"Healthcare setting, dead on arrival",,58,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Kansas,Decedent's home,585,18994,451,156,17,897,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Kansas,Hospice facility,116,2914,232,49,12,311,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Kansas,Nursing home/long term care facility,1777,15346,813,393,22,2219,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Kansas,Other,90,3210,66,17,0,139,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Kansas,Place of death unknown,0,0,0,0,0,0,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Kentucky,Total - All Places of Death,12474,110747,13690,6784,162,19533,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Kentucky,"Healthcare setting, inpatient",8635,38162,10916,5872,111,13782,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Kentucky,"Healthcare setting, outpatient or emergency room",464,8346,354,142,,683,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Kentucky,"Healthcare setting, dead on arrival",,154,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Kentucky,Decedent's home,1056,36109,965,298,24,1747,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Kentucky,Hospice facility,412,8044,502,116,15,813,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Kentucky,Nursing home/long term care facility,1795,14691,866,322,,2342,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Kentucky,Other,109,5232,85,32,0,162,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Kentucky,Place of death unknown,,,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Louisiana,Total - All Places of Death,13707,109048,11073,7197,109,17680,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Louisiana,"Healthcare setting, inpatient",10239,34734,8512,5923,80,12898,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Louisiana,"Healthcare setting, outpatient or emergency room",603,7161,492,262,,838,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Louisiana,"Healthcare setting, dead on arrival",,77,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Louisiana,Decedent's home,1100,39782,780,321,17,1575,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Louisiana,Hospice facility,356,5292,326,181,,505,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Louisiana,Nursing home/long term care facility,1258,14998,850,466,,1643,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Louisiana,Other,149,7004,111,43,,218,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Louisiana,Place of death unknown,0,0,0,0,0,0,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Maine,Total - All Places of Death,1746,32046,2219,485,39,3519,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Maine,"Healthcare setting, inpatient",945,7426,1388,387,26,1972,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Maine,"Healthcare setting, outpatient or emergency room",41,1003,50,,,88,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Maine,"Healthcare setting, dead on arrival",,15,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Maine,Decedent's home,142,11986,269,26,,389,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Maine,Hospice facility,36,3226,128,,,157,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
